Student_ID,Name,Gender,Department,Age,CGPA,Attendance_Percentage,Internships,Projects_Completed,Aptitude_Test_Score,Communication_Skill_Score,Placement_Status,Salary_Package_LPA
S0348,Kristy,Female,IT,22,8.39,81,3,1,90,67,Placed,3.09
S0349,Melissa,Female,EEE,24,8.73,97,4,2,84,76,Placed,7.01
S0350,Allison,Female,CSE,20,8.4,92,5,1,49,62,Not Placed,0
S0351,David,Female,ECE,21,7.08,67,0,6,93,100,Placed,4.28
S0352,Adam,Female,ECE,18,8.92,90,4,1,62,70,Placed,6.94
S0353,Adam,Male,CIVIL,24,6.5,67,5,3,41,94,Not Placed,0
S0354,Michael,Male,ECE,22,5.82,75,5,5,73,51,Not Placed,0
S0355,Lee,Female,EEE,18,7.13,74,3,6,91,65,Placed,4.66
S0356,Ashley,Male,IT,20,8.69,88,1,4,77,67,Placed,3.04
S0357,Monique,Male,ECE,20,8.76,96,0,5,46,91,Not Placed,0
S0358,Elizabeth,Female,MECH,21,5.99,76,0,4,82,95,Not Placed,0
S0359,Jeffrey,Female,MECH,22,8.06,67,4,4,62,62,Placed,8.56
S0360,Steven,Male,IT,20,5.42,80,1,3,47,55,Not Placed,0
S0361,Tyler,Female,IT,21,8.47,84,4,2,66,78,Placed,8.17
S0362,Aaron,Female,IT,19,8.18,71,5,4,75,50,Not Placed,0
S0363,Alan,Male,EEE,19,6.57,99,3,3,43,95,Not Placed,0
S0364,Kimberly,Female,CIVIL,21,5.98,95,3,4,72,81,Not Placed,0
S0365,Elizabeth,Male,IT,20,7.08,91,3,5,50,45,Not Placed,0
S0366,Jamie,Female,MECH,22,5.16,94,1,4,58,50,Not Placed,0
S0367,Patrick,Male,CIVIL,21,5.57,77,0,3,89,74,Not Placed,0
S0368,Amanda,Female,CSE,21,7.73,66,3,6,87,93,Placed,9.76
S0369,David,Male,CIVIL,22,6.31,88,0,2,95,47,Not Placed,0
S0370,Heather,Male,IT,24,8.45,99,5,2,80,67,Placed,8.55
S0371,Lisa,Male,ECE,23,5.3,94,2,5,57,78,Not Placed,0
S0372,Madison,Male,IT,24,6.46,77,4,5,100,94,Not Placed,0
S0373,Megan,Male,IT,19,8.93,77,0,2,95,81,Placed,9.31
S0374,Jonathan,Female,CIVIL,21,8.56,85,1,5,71,49,Not Placed,0
S0375,Brandy,Female,MECH,23,6.88,100,0,1,90,96,Not Placed,0
S0376,Joshua,Male,CIVIL,18,6.39,89,2,3,100,71,Not Placed,0
S0377,Thomas,Female,IT,21,8.65,100,3,3,82,84,Placed,10.65
S0378,Douglas,Female,MECH,22,9.12,77,3,3,60,93,Not Placed,0
S0379,Donna,Male,CSE,23,5.65,81,3,1,97,83,Not Placed,0
S0380,Laura,Female,EEE,18,8.92,61,3,2,47,99,Not Placed,0
S0381,Anthony,Female,IT,24,9.96,72,3,2,84,98,Placed,10.94
S0382,Shannon,Male,CSE,21,9.66,65,2,3,81,63,Placed,3.74
S0383,John,Male,IT,21,8.13,74,5,1,67,81,Placed,9.33
S0384,David,Male,CSE,23,5.39,74,4,4,73,83,Not Placed,0
S0385,Caroline,Male,IT,21,6.72,87,0,4,84,48,Not Placed,0
S0386,Donna,Male,EEE,24,5.45,66,0,3,60,63,Not Placed,0
S0387,Jimmy,Male,MECH,23,9.07,69,1,5,44,73,Not Placed,0
S0388,Jessica,Female,MECH,23,5.82,73,2,2,80,87,Not Placed,0
S0389,Melissa,Male,MECH,23,7.21,65,1,2,97,46,Not Placed,0
S0390,Alicia,Female,CIVIL,18,6.92,80,3,2,90,48,Not Placed,0
S0391,Tanner,Male,CIVIL,20,6.24,98,4,3,86,78,Not Placed,0
S0392,Jessica,Female,CIVIL,18,6.03,92,4,4,52,87,Not Placed,0
S0393,Wendy,Female,CIVIL,22,8.92,91,1,2,64,47,Not Placed,0
S0394,Jennifer,Female,MECH,21,5.36,83,0,2,99,60,Not Placed,0
S0395,Scott,Male,MECH,18,6.83,71,5,1,88,70,Not Placed,0
S0396,Kenneth,Female,CIVIL,23,5.07,62,1,4,99,43,Not Placed,0
S0397,Terri,Male,ECE,18,7.51,87,3,1,84,65,Placed,8.76
S0398,Scott,Female,EEE,22,6.55,73,4,5,91,49,Not Placed,0
S0399,Ian,Male,CSE,19,8.17,64,5,4,59,84,Not Placed,0
S0400,Lauren,Male,ECE,23,5.43,67,3,5,69,79,Not Placed,0
S0401,Benjamin,Male,CIVIL,18,8.71,71,5,6,47,40,Not Placed,0
S0402,Amanda,Female,IT,20,5.82,93,2,6,73,90,Not Placed,0
S0403,Kevin,Female,EEE,20,5.63,67,2,1,89,97,Not Placed,0
S0404,Meagan,Female,MECH,20,7.62,96,2,4,80,44,Not Placed,0
S0405,Christina,Male,MECH,23,5.28,70,4,3,63,50,Not Placed,0
S0406,Todd,Male,CSE,21,8.61,92,1,1,40,42,Not Placed,0
S0407,Miguel,Female,IT,20,6.82,71,1,1,99,94,Not Placed,0
S0408,Ashlee,Female,CSE,22,6.24,80,5,1,57,92,Not Placed,0
S0409,Lauren,Male,EEE,18,8.37,71,0,5,54,91,Not Placed,0
S0410,Mary,Female,CSE,20,9.38,79,2,5,60,45,Not Placed,0
S0411,Tyler,Female,ECE,22,6,79,4,2,87,79,Not Placed,0
S0412,Luke,Female,CSE,19,9.86,94,1,2,88,90,Placed,4.36
S0413,Daniel,Female,CIVIL,23,7.71,60,5,1,100,61,Placed,9.83
S0414,Amy,Male,IT,23,6.54,93,1,4,55,66,Not Placed,0
S0415,Shelly,Female,CIVIL,20,6.4,74,0,5,97,94,Not Placed,0
S0416,James,Male,CIVIL,24,7.29,65,5,5,77,46,Not Placed,0
S0417,Christine,Male,IT,20,6.97,96,4,6,43,67,Not Placed,0
S0418,Joy,Female,ECE,21,6.3,85,2,6,84,93,Not Placed,0
S0419,Karen,Male,IT,18,6.36,72,0,5,48,89,Not Placed,0
S0420,Meghan,Female,IT,21,5.82,80,3,5,66,47,Not Placed,0
S0421,Rhonda,Female,CIVIL,23,6.54,67,2,6,45,50,Not Placed,0
S0422,Sarah,Male,ECE,21,8.02,80,1,6,49,45,Not Placed,0
S0423,Brian,Male,EEE,24,7.57,79,5,2,56,92,Not Placed,0
S0424,Gregory,Male,IT,18,7.26,95,5,4,55,46,Not Placed,0
S0425,Thomas,Female,CIVIL,23,5.06,68,1,4,52,92,Not Placed,0
S0426,George,Male,IT,23,9.69,97,0,1,77,56,Placed,3.2
S0427,Travis,Female,CSE,19,7.22,65,1,3,97,94,Placed,4.1
S0428,Sandra,Female,IT,20,9.62,85,3,4,71,41,Not Placed,0
S0429,Richard,Male,MECH,22,6.07,77,1,2,57,68,Not Placed,0
S0430,Laura,Male,ECE,21,8.08,78,5,5,71,66,Placed,7.31
S0431,Stephanie,Male,EEE,24,5.69,93,1,5,55,80,Not Placed,0
S0432,Patricia,Female,EEE,20,8.57,94,3,3,90,71,Placed,11.21
S0433,Connor,Male,EEE,22,5.9,98,2,3,54,41,Not Placed,0
S0434,Sergio,Male,ECE,22,6.79,74,4,2,50,46,Not Placed,0
S0435,Donald,Female,ECE,24,9.08,63,5,2,88,100,Placed,8.18
S0436,Janet,Female,MECH,18,9.96,71,1,3,55,77,Not Placed,0
S0437,Maria,Male,EEE,22,8.52,96,2,5,76,49,Not Placed,0
S0438,Christopher,Male,CSE,22,6.55,62,3,2,45,43,Not Placed,0
S0439,Nicole,Female,CIVIL,19,7.39,99,2,2,52,91,Not Placed,0
S0440,Cynthia,Male,CSE,24,9.59,63,2,5,41,49,Not Placed,0
S0441,Christy,Male,ECE,20,7.63,64,2,6,63,85,Placed,6.56
S0442,Evan,Female,IT,23,6.61,87,1,4,90,80,Not Placed,0
S0443,Nicholas,Male,EEE,20,9.84,99,5,2,90,62,Placed,8.99
S0444,Sarah,Female,MECH,18,8.67,68,2,1,51,86,Not Placed,0
S0445,Jesse,Male,EEE,19,5.91,99,2,5,54,80,Not Placed,0
S0446,Ashley,Male,CIVIL,23,6.66,75,0,2,62,60,Not Placed,0
S0447,Gregory,Male,CIVIL,18,8.2,88,2,2,40,56,Not Placed,0
S0448,Samuel,Female,IT,21,6.75,60,0,4,43,64,Not Placed,0
S0449,Donna,Male,IT,21,7.47,82,3,1,74,64,Placed,10.46
S0450,Kim,Male,CSE,20,5.37,78,0,3,41,60,Not Placed,0
S0451,Bryan,Male,ECE,22,5.85,70,3,5,86,44,Not Placed,0
S0452,James,Female,IT,18,9.93,61,3,6,67,100,Placed,4.48
S0453,William,Female,CIVIL,20,5.51,72,1,5,66,84,Not Placed,0
S0454,James,Female,IT,18,6.49,63,0,5,65,76,Not Placed,0
S0455,Michael,Female,IT,18,6.8,65,3,6,58,92,Not Placed,0
S0456,Robert,Male,ECE,24,5.13,100,1,4,58,45,Not Placed,0
S0457,Amy,Female,IT,20,6.99,76,3,5,45,81,Not Placed,0
S0458,Joseph,Female,EEE,20,9.43,71,2,3,68,42,Not Placed,0
S0459,Tiffany,Male,CSE,23,6.13,96,2,6,43,49,Not Placed,0
S0460,Troy,Male,EEE,24,6.72,86,4,2,88,77,Not Placed,0
S0461,Debra,Male,EEE,24,7.61,90,4,2,76,96,Placed,7.29
S0462,Joshua,Male,CSE,24,8.57,96,4,5,97,73,Placed,9.1
S0463,Janice,Male,EEE,18,7.25,73,1,2,91,52,Not Placed,0
S0464,Darren,Female,ECE,23,9.94,72,3,2,92,80,Placed,10.51
S0465,Kristy,Female,MECH,21,9.57,65,0,4,64,75,Placed,7.97
S0466,Toni,Male,IT,22,9.59,99,0,4,77,73,Placed,4.01
S0467,Jill,Female,EEE,20,7.94,66,0,1,76,89,Placed,10.07
S0468,Frederick,Male,ECE,21,6.92,96,3,1,78,70,Not Placed,0
S0469,Nancy,Male,CSE,23,5.72,85,4,3,42,65,Not Placed,0
S0470,Deborah,Female,ECE,24,7.38,83,2,3,41,61,Not Placed,0
S0471,Jerry,Female,CIVIL,21,7.46,66,5,2,95,54,Not Placed,0
S0472,Michael,Male,EEE,19,8.87,77,2,5,86,66,Placed,8.81
S0473,Autumn,Male,CSE,20,9.57,91,3,3,88,73,Placed,10.39
S0474,John,Male,IT,19,8.55,68,3,5,89,94,Placed,10.91
S0475,Karina,Male,ECE,23,9.38,63,1,4,55,42,Not Placed,0
S0476,Samantha,Male,CIVIL,18,6,89,2,6,72,65,Not Placed,0
S0477,Justin,Female,ECE,19,6.21,98,3,4,68,51,Not Placed,0
S0478,Courtney,Male,IT,24,9.19,65,2,4,58,41,Not Placed,0
S0479,Cindy,Male,ECE,23,7.86,74,1,6,81,54,Not Placed,0
S0480,Paula,Male,IT,20,7.05,60,0,2,70,98,Placed,8.83
S0481,Eric,Female,ECE,19,8.04,77,2,4,67,97,Placed,10.66
S0482,Mary,Male,MECH,23,7.33,93,5,4,92,79,Placed,8.26
S0483,Keith,Male,EEE,18,9.83,95,2,5,81,78,Placed,5.54
S0484,Andrea,Female,CIVIL,23,6.68,100,2,3,60,95,Not Placed,0
S0485,John,Male,CSE,24,9.76,79,5,5,52,49,Not Placed,0
S0486,Lori,Male,CIVIL,21,9.29,85,4,6,82,60,Placed,4.26
S0487,Jennifer,Male,ECE,23,9.99,86,2,6,65,64,Placed,3.32
S0488,Karen,Female,MECH,20,8.57,94,5,4,80,90,Placed,11.16
S0489,Debra,Female,IT,23,9.23,95,5,1,51,58,Not Placed,0
S0490,Sandra,Male,IT,20,6.29,71,4,3,100,83,Not Placed,0
S0491,Daniel,Female,ECE,22,6.12,86,2,3,90,96,Not Placed,0
S0492,Amy,Male,EEE,19,6.47,90,0,6,43,95,Not Placed,0
S0493,John,Male,IT,19,7.5,84,5,4,73,59,Placed,3.49
S0494,Brian,Male,CSE,21,6.71,89,4,6,49,60,Not Placed,0
S0495,Olivia,Female,ECE,19,6.66,80,1,1,80,43,Not Placed,0
S0496,Rhonda,Male,IT,22,8.81,96,1,4,88,50,Not Placed,0
S0497,Kevin,Male,CIVIL,20,7.17,85,3,4,67,70,Placed,3.04
S0498,Cindy,Male,CIVIL,23,9.75,93,2,6,52,41,Not Placed,0
S0499,Christopher,Female,MECH,22,6.24,82,5,1,59,48,Not Placed,0
S0500,Michael,Female,CIVIL,22,6.53,62,0,3,59,100,Not Placed,0
S0501,Tiffany,Female,ECE,24,7.98,87,2,2,96,83,Placed,6.08
S0502,Gary,Male,IT,23,5.94,61,3,6,54,54,Not Placed,0
S0503,Robyn,Male,EEE,23,5.11,70,4,6,47,63,Not Placed,0
S0504,Jordan,Male,CIVIL,24,6.28,99,4,1,43,78,Not Placed,0
S0505,Sarah,Male,MECH,20,5.1,67,5,4,66,68,Not Placed,0
S0506,Jeffrey,Female,CIVIL,18,7.37,73,1,6,84,83,Placed,3.08
S0507,Eric,Male,MECH,23,8.31,99,2,2,78,84,Placed,6.77
S0508,Donald,Male,MECH,19,8.09,67,2,4,90,46,Not Placed,0
S0509,Pamela,Male,MECH,21,8.89,72,4,4,62,85,Placed,5.66
S0510,Todd,Male,CIVIL,18,9.55,90,5,1,61,55,Not Placed,0
S0511,Troy,Male,CIVIL,23,9.53,91,4,1,49,100,Not Placed,0
S0512,Tammy,Female,CSE,18,5.51,74,2,3,69,58,Not Placed,0
S0513,Vanessa,Male,CSE,24,9.07,78,0,6,63,91,Placed,5.81
S0514,Briana,Male,ECE,20,8.79,60,0,6,94,48,Not Placed,0
S0515,Zachary,Female,IT,18,9.47,77,4,1,96,86,Placed,6.35
S0516,Jonathan,Female,EEE,23,7,77,3,6,93,64,Not Placed,0
S0517,Jeffrey,Male,IT,18,9.43,67,1,6,48,84,Not Placed,0
S0518,Manuel,Female,ECE,22,7.08,90,4,6,91,76,Placed,6.94
S0519,Kenneth,Male,EEE,21,5.14,68,5,4,70,98,Not Placed,0
S0520,Seth,Male,CIVIL,24,5.23,80,2,6,40,85,Not Placed,0
S0521,Kelly,Male,EEE,20,6.69,99,4,6,46,67,Not Placed,0
S0522,Matthew,Male,CSE,23,8.32,84,5,5,49,93,Not Placed,0
S0523,Jodi,Female,ECE,19,9.67,90,4,2,94,71,Placed,3.67
S0524,Sandra,Female,EEE,24,6.65,63,2,5,72,54,Not Placed,0
S0525,Kimberly,Male,EEE,21,6.17,88,3,4,91,76,Not Placed,0
S0526,Ashley,Male,MECH,22,6.58,61,3,4,46,65,Not Placed,0
S0527,Harold,Male,CIVIL,23,5,98,0,3,79,80,Not Placed,0
S0528,Grace,Female,ECE,22,7.28,83,2,2,92,43,Not Placed,0
S0529,Stephanie,Male,CSE,24,8.84,90,4,3,85,82,Placed,9.44
S0530,Justin,Female,MECH,22,8.29,81,0,6,62,93,Placed,11.68
S0531,Chase,Male,CIVIL,23,6.87,62,0,4,97,50,Not Placed,0
S0532,Joshua,Male,EEE,19,8.61,76,0,2,79,52,Not Placed,0
S0533,Marcus,Male,CIVIL,24,7.29,81,1,4,46,88,Not Placed,0
S0534,Renee,Male,EEE,18,8.36,88,0,5,69,82,Placed,11.61
S0535,Elizabeth,Male,CIVIL,22,7.65,95,0,5,99,67,Placed,7.35
S0536,Eduardo,Female,MECH,21,5.87,66,1,5,64,82,Not Placed,0
S0537,Charles,Female,EEE,24,7.09,75,4,3,57,65,Not Placed,0
S0538,Matthew,Female,CIVIL,22,5.67,98,3,6,84,96,Not Placed,0
S0539,Evelyn,Male,MECH,23,9.3,95,5,2,80,53,Not Placed,0
S0540,Nicholas,Female,CIVIL,18,6.45,68,2,2,85,81,Not Placed,0
S0541,Bridget,Female,EEE,24,8.8,90,4,6,77,76,Placed,9.39
S0542,Rhonda,Male,IT,20,5.06,61,0,1,64,49,Not Placed,0
S0543,Steven,Female,IT,24,8.75,78,1,2,83,56,Placed,10.55
S0544,Caitlin,Male,CIVIL,23,7.71,88,2,6,46,79,Not Placed,0
S0545,Sean,Male,EEE,21,7.81,92,1,6,90,90,Placed,5.59
S0546,Rachel,Female,IT,22,7.08,80,5,1,75,43,Not Placed,0
S0547,Kevin,Female,MECH,22,9.34,74,3,6,98,80,Placed,9.39
S0548,Michelle,Male,IT,19,8.69,72,1,2,58,68,Not Placed,0
S0549,Peter,Female,IT,19,8.68,84,0,3,42,67,Not Placed,0
S0550,Brittany,Male,IT,20,7.92,60,2,6,61,69,Placed,11.44
S0551,Kim,Female,CSE,24,7.98,99,5,3,93,82,Placed,7.41
S0552,Robert,Male,EEE,22,8.54,74,4,1,51,73,Not Placed,0
S0553,Bryan,Female,ECE,20,7.69,82,0,2,54,96,Not Placed,0
S0554,Holly,Male,CSE,23,6.47,93,4,6,70,75,Not Placed,0
S0555,Geoffrey,Male,CIVIL,20,6.73,99,1,2,98,79,Not Placed,0
S0556,Jessica,Female,CSE,22,6.91,84,0,6,56,74,Not Placed,0
S0557,Patricia,Female,CIVIL,19,9.11,92,2,4,91,72,Placed,7.38
S0558,Dominique,Male,CIVIL,18,6.6,66,0,5,50,89,Not Placed,0
S0559,Meagan,Male,IT,22,6.05,73,5,4,95,83,Not Placed,0
S0560,Bradley,Male,CSE,21,9.14,87,5,1,81,92,Placed,9.72
S0561,Bradley,Female,MECH,18,8.58,65,0,2,44,43,Not Placed,0
S0562,Wendy,Female,ECE,18,7.87,76,1,4,66,64,Placed,8.67
S0563,Jennifer,Male,CIVIL,22,6.95,94,0,6,40,81,Not Placed,0
S0564,Eric,Female,CIVIL,20,5.23,82,0,1,99,72,Not Placed,0
S0565,Michelle,Male,MECH,19,8.03,88,2,6,64,65,Placed,3.28
S0566,Jill,Female,CIVIL,24,5.68,94,3,2,58,80,Not Placed,0
S0567,Natalie,Male,CSE,18,9.34,83,5,5,100,40,Not Placed,0
S0568,Colleen,Female,IT,23,5.03,85,4,1,74,75,Not Placed,0
S0569,Michael,Male,IT,19,8.71,82,5,6,53,66,Not Placed,0
S0570,Lisa,Male,MECH,21,6.1,72,2,6,47,51,Not Placed,0
S0571,Stephen,Male,IT,23,8.22,78,0,3,82,44,Not Placed,0
S0572,Heather,Male,CSE,20,7.9,82,2,6,48,82,Not Placed,0
S0573,Marcus,Female,CIVIL,22,8.1,80,1,3,71,68,Placed,8.55
S0574,Patricia,Male,CSE,20,5.76,83,4,4,91,60,Not Placed,0
S0575,John,Male,CIVIL,23,6.23,87,1,3,57,93,Not Placed,0
S0576,Jill,Female,MECH,18,6.66,89,3,3,68,62,Not Placed,0
S0577,Brenda,Male,ECE,23,5.88,65,4,2,93,57,Not Placed,0
S0578,Dennis,Male,MECH,22,9.43,64,0,5,97,41,Not Placed,0
S0579,Robert,Female,MECH,22,7.03,73,4,5,98,42,Not Placed,0
S0580,Brandon,Female,IT,21,7.36,83,1,5,65,54,Not Placed,0
S0581,Pamela,Male,MECH,19,7.51,85,0,1,63,72,Placed,8.96
S0582,Katherine,Male,CIVIL,23,7.23,96,1,6,100,76,Placed,10.85
S0583,Christopher,Male,CSE,20,7.42,62,2,4,54,88,Not Placed,0
S0584,Erica,Female,EEE,21,6.85,73,0,3,73,98,Not Placed,0
S0585,William,Female,CIVIL,20,9.41,80,0,5,46,85,Not Placed,0
S0586,Jason,Male,MECH,20,7.89,71,4,4,64,81,Placed,6.29
S0587,Bryan,Female,EEE,22,6.88,93,1,3,65,62,Not Placed,0
S0588,Sheryl,Female,IT,19,5.03,88,1,1,50,54,Not Placed,0
S0589,Erica,Male,EEE,24,5.93,98,2,1,85,92,Not Placed,0
S0590,Wayne,Male,MECH,19,6.65,90,0,4,83,70,Not Placed,0
S0591,Kristine,Male,IT,23,8.24,61,3,2,55,42,Not Placed,0
S0592,Ronald,Male,MECH,21,7.56,69,4,3,43,50,Not Placed,0
S0593,Michelle,Female,CSE,19,8,100,4,6,41,96,Not Placed,0
S0594,Terri,Male,MECH,24,7.25,90,3,4,50,54,Not Placed,0
S0595,Kaitlyn,Female,EEE,22,8.84,92,4,6,56,50,Not Placed,0
S0596,John,Male,IT,22,7.95,84,1,1,64,48,Not Placed,0
S0597,Dawn,Male,IT,21,9.3,86,4,5,92,49,Not Placed,0
S0598,Stephanie,Male,CSE,21,9.51,62,4,5,96,90,Placed,7.53
S0599,Daisy,Female,MECH,21,8.3,94,4,6,92,40,Not Placed,0
S0600,Jesse,Female,ECE,22,6.85,93,0,4,67,54,Not Placed,0
S0601,Ronnie,Female,EEE,24,9.02,96,5,2,46,67,Not Placed,0
S0602,Laurie,Female,ECE,19,6.16,78,0,5,78,96,Not Placed,0
S0603,Elaine,Male,EEE,23,5.03,60,5,1,76,73,Not Placed,0
S0604,Nicholas,Female,CIVIL,22,6.03,86,2,2,63,46,Not Placed,0
S0605,James,Female,CIVIL,21,6.27,87,4,5,76,63,Not Placed,0
S0606,Richard,Female,ECE,20,8.77,95,3,4,90,75,Placed,4.61
S0607,Bethany,Male,CIVIL,19,7.89,85,5,6,87,48,Not Placed,0
S0608,Jesse,Female,ECE,24,7.23,70,5,5,46,53,Not Placed,0
S0609,John,Male,CSE,24,7.75,63,5,6,50,64,Not Placed,0
S0610,Ashley,Male,ECE,18,5.73,87,4,3,45,44,Not Placed,0
S0611,Jaime,Female,CIVIL,22,8.05,84,5,5,99,65,Placed,8.91
S0612,Caitlin,Male,CIVIL,24,5.29,100,1,1,71,68,Not Placed,0
S0613,Scott,Male,MECH,19,7.59,62,1,5,90,78,Placed,7.64
S0614,Tami,Male,ECE,24,8.37,75,2,2,81,40,Not Placed,0
S0615,Richard,Male,CIVIL,23,7,85,5,2,65,77,Not Placed,0
S0616,Heather,Female,ECE,24,5.34,95,0,5,58,86,Not Placed,0
S0617,Michelle,Male,ECE,19,6.38,72,4,4,69,99,Not Placed,0
S0618,David,Female,CSE,24,7.04,95,0,3,44,72,Not Placed,0
S0619,Taylor,Female,EEE,22,7.57,94,2,5,92,90,Placed,5.25
S0620,Laurie,Male,EEE,18,7.42,81,1,6,89,69,Placed,7.15
S0621,Brenda,Male,ECE,21,6.29,100,3,6,90,54,Not Placed,0
S0622,Miranda,Male,ECE,18,9.78,94,4,3,40,84,Not Placed,0
S0623,David,Female,ECE,20,6.99,81,5,2,44,75,Not Placed,0
S0624,Brian,Male,EEE,23,6.09,77,4,6,51,100,Not Placed,0
S0625,Thomas,Male,IT,24,6,75,5,2,95,56,Not Placed,0
S0626,Lauren,Male,CSE,23,6.25,82,4,1,49,89,Not Placed,0
S0627,Adam,Male,EEE,20,9.78,99,3,5,40,88,Not Placed,0
S0628,Melinda,Female,EEE,19,8.1,96,3,4,95,57,Placed,4.65
S0629,Michaela,Male,MECH,20,8.75,63,1,4,73,91,Placed,7.3
S0630,Thomas,Female,ECE,23,6.97,71,5,6,69,47,Not Placed,0
S0631,Carolyn,Female,ECE,22,5.04,73,5,1,64,77,Not Placed,0
S0632,Emily,Female,MECH,20,9.31,95,1,3,56,55,Not Placed,0
S0633,Mark,Female,ECE,24,6.83,87,3,6,53,66,Not Placed,0
S0634,Michael,Male,CSE,23,7,71,3,5,76,48,Not Placed,0
S0635,Kara,Male,IT,24,6.35,95,1,4,67,94,Not Placed,0
S0636,Anthony,Female,EEE,19,9.8,90,1,2,91,40,Not Placed,0
S0637,Andrew,Female,ECE,22,9.98,93,5,3,74,86,Placed,10.07
S0638,Jennifer,Male,IT,24,9.29,85,0,2,46,84,Not Placed,0
S0639,Calvin,Female,ECE,20,6.27,66,5,3,68,87,Not Placed,0
S0640,Charles,Female,CIVIL,22,7.8,82,2,1,41,66,Not Placed,0
S0641,Sean,Female,ECE,23,5.99,94,4,3,51,89,Not Placed,0
S0642,Randy,Female,EEE,23,7.55,88,5,4,96,45,Not Placed,0
S0643,Courtney,Female,CSE,18,9.78,100,1,3,91,99,Placed,6.8
S0644,Scott,Female,MECH,23,5.81,80,1,3,60,81,Not Placed,0
S0645,Robert,Female,EEE,19,6.98,83,3,5,87,77,Not Placed,0
S0646,Kristina,Female,CIVIL,23,5.92,68,0,6,86,55,Not Placed,0
S0647,Angelica,Male,EEE,22,8.75,70,1,1,65,46,Not Placed,0
S0648,Joshua,Female,MECH,19,5.27,93,3,1,88,45,Not Placed,0
S0649,Michael,Female,EEE,23,5.42,79,3,6,54,55,Not Placed,0
S0650,Christine,Female,ECE,24,5.63,70,4,6,41,42,Not Placed,0
S0651,Sara,Male,MECH,22,7.38,77,4,2,75,68,Placed,11.73
S0652,Matthew,Female,ECE,21,7.28,100,5,4,96,76,Placed,7.71
S0653,Ann,Female,IT,20,7.7,88,0,4,59,63,Not Placed,0
S0654,Vanessa,Male,CIVIL,21,5.05,68,4,4,62,58,Not Placed,0
S0655,Yvonne,Female,MECH,19,9.73,79,3,4,40,89,Not Placed,0
S0656,Steven,Female,EEE,19,8.98,83,4,5,52,66,Not Placed,0
S0657,Denise,Female,CSE,21,5.82,84,5,2,93,64,Not Placed,0
S0658,Rachel,Female,EEE,19,8.13,99,4,6,91,84,Placed,5.45
S0659,Aaron,Female,MECH,21,9.27,68,1,6,58,47,Not Placed,0
S0660,Emily,Male,CSE,22,6.36,91,4,1,52,60,Not Placed,0
S0661,Robert,Female,CIVIL,18,5.11,78,0,6,57,48,Not Placed,0
S0662,Monica,Female,ECE,24,6.16,60,1,3,71,53,Not Placed,0
S0663,Dennis,Male,CSE,20,9,89,2,1,84,90,Placed,5.97
S0664,Mark,Female,EEE,24,8.88,94,0,2,70,51,Not Placed,0
S0665,Matthew,Male,CIVIL,18,5.06,75,5,4,64,89,Not Placed,0
S0666,Sarah,Female,EEE,23,6,66,5,2,73,82,Not Placed,0
S0667,Ann,Male,ECE,21,9.81,70,2,1,80,86,Placed,9.7
S0668,Mark,Male,CSE,19,8.19,83,1,6,96,43,Not Placed,0
S0669,William,Male,EEE,24,8.16,60,2,3,50,90,Not Placed,0
S0670,Christopher,Male,ECE,24,6.22,97,0,4,90,84,Not Placed,0
S0671,Regina,Female,CIVIL,18,5.45,91,1,5,45,83,Not Placed,0
S0672,Robin,Male,EEE,19,5.3,69,5,1,84,74,Not Placed,0
S0673,Gabrielle,Male,CSE,23,6.58,82,4,4,91,97,Not Placed,0
S0674,Victoria,Female,CIVIL,21,6.89,68,5,1,56,97,Not Placed,0
S0675,David,Female,ECE,23,7.8,91,4,2,52,76,Not Placed,0
S0676,John,Male,EEE,20,7.34,95,4,5,50,44,Not Placed,0
S0677,Monica,Female,CIVIL,19,9.1,83,4,6,69,40,Not Placed,0
S0678,Bob,Male,CIVIL,22,9.41,83,4,2,89,79,Placed,5.89
S0679,Jennifer,Female,ECE,21,9.1,93,1,5,83,71,Placed,4.39
S0680,Karen,Male,IT,24,8.2,66,0,1,73,82,Placed,3.39
S0681,David,Female,CIVIL,21,5.16,91,0,1,52,46,Not Placed,0
S0682,Amanda,Male,MECH,23,7.63,97,5,3,56,43,Not Placed,0
S0683,Kelly,Female,CIVIL,18,5.35,91,1,1,99,96,Not Placed,0
S0684,Daniel,Male,MECH,20,6.8,86,5,6,92,63,Not Placed,0
S0685,Jennifer,Male,CSE,23,7.65,64,5,1,93,59,Placed,11.5
S0686,Aaron,Male,MECH,23,6.16,72,3,6,52,73,Not Placed,0
S0687,Kenneth,Female,CIVIL,21,9.74,95,4,1,66,87,Placed,9.9
S0688,Patrick,Female,MECH,20,8.51,66,3,2,50,90,Not Placed,0
S0689,Patrick,Female,ECE,21,8.29,98,4,3,68,99,Placed,11.12
S0690,Paul,Male,EEE,24,8.82,80,3,5,78,55,Not Placed,0
S0691,Dominique,Male,CIVIL,18,7.75,76,5,4,63,68,Placed,11.64
S0692,Karla,Male,ECE,19,9.91,61,4,3,73,48,Not Placed,0
S0693,Ashley,Female,MECH,22,6.07,61,2,6,89,92,Not Placed,0
S0694,Brooke,Female,IT,19,7.78,69,4,4,46,42,Not Placed,0
S0695,Cynthia,Male,MECH,21,6.32,75,4,3,54,56,Not Placed,0
S0696,Dana,Male,MECH,23,7.85,64,1,4,86,60,Placed,4.56
